sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2021-06-21;108,540;108,600;107,860;110,240;107,560;108,420;108,899;5765739;627992765,62;11025;
2021-06-18;108,080;108,120;109,260;110,560;107,980;108,120;108,649;8637402;938457748,51;14265;
2021-06-17;109,660;109,680;109,300;110,200;108,680;109,660;109,377;5785887;632771423,83;8447;
2021-06-16;109,800;109,840;108,480;110,080;108,160;109,660;109,427;5629093;615996119,25;12022;
2021-06-15;108,700;108,760;109,760;110,300;108,500;108,800;109,153;5549992;605900228,45;8344;
2021-06-14;109,340;109,380;109,840;110,360;108,980;109,420;109,502;4629760;506975568,49;9634;
2021-06-11;109,860;109,900;109,000;110,280;108,400;109,840;109,730;5750309;630876518,68;10284;
2021-06-10;108,580;108,640;108,420;108,780;107,800;108,660;108,359;5279852;572107209,18;8789;
2021-06-09;108,400;108,420;108,500;109,000;108,040;108,420;108,454;4456739;483354155,19;6887;
2021-06-08;108,760;108,820;108,280;109,600;107,820;108,980;108,841;5568887;606091172,03;8475;
2021-06-07;108,440;108,480;108,840;109,720;108,300;108,300;108,703;5310708;577338433,48;10836;
2021-06-04;109,140;109,160;109,100;109,400;108,180;108,800;108,782;7809867;849572783,14;9837;
2021-06-03;109,000;109,040;109,240;110,380;107,640;108,860;108,752;10871844;1182296437,17;15882;
2021-06-02;108,820;108,840;108,900;109,580;107,960;108,660;108,809;10150959;1104529416,83;14896;
2021-06-01;108,960;109,020;110,660;110,880;108,520;108,940;109,410;9941525;1087869033,46;16456;
2021-05-31;110,240;110,280;111,440;111,540;109,960;109,960;110,164;5705118;628510054,49;5042;
2021-05-28;111,540;111,580;110,360;112,200;110,060;111,340;111,416;7792519;868368248,1;13567;
2021-05-27;110,300;110,340;110,020;110,520;109,340;110,340;110,262;14310369;1577719968,68;11616;
2021-05-26;110,200;110,240;111,000;111,840;109,980;110,000;110,445;7374801;815107727,63;11689;
2021-05-25;111,080;111,100;111,040;112,620;110,360;110,680;111,259;8593989;956302089,42;14614;
2021-05-24;112,040;112,060;112,200;112,980;111,300;111,920;112,019;6465898;724154717,04;10401;
2021-05-21;113,280;113,320;113,960;114,120;112,640;113,200;113,307;5031004;570059898,85;8642;
