sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2021-06-21;101,200;101,400;100,400;101,800;99,350;101,200;100,569;60163;6050537,25;399;
2021-06-18;100,600;100,800;101,100;101,800;100,400;100,400;100,860;123187;12424640,6;386;
2021-06-17;101,100;101,300;101,000;102,600;101,000;101,400;101,934;99660;10158770,6;523;
2021-06-16;100,200;100,400;100,600;101,300;100,000;100,100;100,438;29854;2998486,9;222;
2021-06-15;100,800;100,900;100,000;101,000;100,000;100,600;100,549;36526;3672666,4;243;
2021-06-14;100,900;101,100;100,400;101,200;100,200;100,800;100,738;76977;7754488;397;
2021-06-11;100,400;100,600;100,200;100,700;100,000;100,400;100,249;30669;3074550,1;228;
2021-06-10;100,200;100,400;100,000;101,300;99,700;100,300;100,454;69528;6984343,8;311;
2021-06-09;100,000;100,200;100,100;100,400;99,650;100,100;99,964;58634;5861280,5;350;
2021-06-08;100,100;100,300;100,000;101,000;99,550;100,100;100,157;80875;8100183,3;408;
2021-06-07;99,750;99,950;100,500;100,900;99,600;99,750;99,970;53042;5302632,3;434;
2021-06-04;100,700;101,000;100,500;101,300;100,100;100,500;100,795;87955;8865419,9;424;
2021-06-03;100,400;100,600;100,100;100,600;99,600;100,600;100,162;72252;7236891,05;366;
2021-06-02;100,300;100,500;100,200;101,100;100,200;100,200;100,607;66047;6644817,6;411;
2021-06-01;100,600;100,800;101,400;101,400;99,850;100,800;100,615;122063;12281408,35;527;
2021-05-31;99,650;99,800;100,700;101,300;99,500;99,500;100,085;100040;10012457,5;721;
2021-05-28;100,600;100,800;101,200;101,400;100,500;100,600;100,911;50448;5090759,6;346;
2021-05-27;101,200;101,400;101,200;101,600;100,500;101,200;101,184;53732;5436829,5;420;
2021-05-26;100,800;101,100;102,600;102,600;100,200;101,200;101,144;109035;11028152,35;809;
2021-05-25;102,500;102,800;102,500;103,400;102,500;102,600;102,769;76747;7887246;448;
2021-05-24;102,500;102,700;103,000;103,600;102,300;102,500;102,749;56239;5778492,7;390;
2021-05-21;103,200;103,400;103,300;103,900;102,700;103,000;103,187;47725;4924387,6;335;
2021-05-20;103,100;103,300;103,100;104,200;102,300;103,300;102,972;44755;4608491,2;364;
2021-05-19;103,000;103,400;103,000;104,300;102,600;103,100;103,358;39992;4133505,8;329;
2021-05-18;103,800;103,900;103,700;104,800;103,600;104,000;104,051;72592;7553258,2;430;
2021-05-17;103,800;104,000;104,300;104,600;103,100;103,700;103,648;36805;3814771,8;298;
2021-05-14;104,100;104,300;102,500;104,700;102,500;104,300;103,474;106682;11040417,1;552;
2021-05-12;102,500;102,600;102,600;103,200;102,200;102,500;102,792;50138;5153641,4;309;
2021-05-11;103,300;103,500;105,000;105,000;103,000;103,400;104,082;70064;7292397,2;425;
2021-05-10;104,800;104,900;104,500;105,100;103,800;105,000;104,645;79794;8350038,9;428;
2021-05-07;104,100;104,300;104,800;105,400;103,400;104,500;104,355;81406;8495104,6;463;
2021-05-06;104,400;104,600;104,200;104,800;103,600;104,800;104,208;92721;9662242,7;515;
2021-05-05;104,000;104,200;102,400;104,200;102,400;104,200;103,382;84814;8767903,9;427;
